Plataforma Solar de Almería,,Almeria,Spain,,,,,,,,https://www.psa.es/en/facilities/meteo/meteo.php,,1,Thermopile,
Artigas airport,ARM,,Uruguay,-30.3984,-56.5117,136,2011-,,INUMET,,http://les.edu.uy/en/rmcis-en/,,1,Thermopile,
Salto Grande,LES,,Uruguay,-31.2827,-57.9181,56,2015-,,Salto,,http://les.edu.uy/en/rmcis-en/,,,,
Shagaya,,,Kuwait,29.2099,47.0603,241,,KISR,,,https://www.kisr.edu.kw/en/facilities/33/details/,,,,
