Station full name,Abbreviation,State,Country,Latitude,Longitude,Elevation,Time period,Network,Owner,Comment,URL,Data availability,Tier,Instrument,Components
Sanankoroba,MLI_Solar_Sanankoroba,,Mali,12.39112,-7.93737,356,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,2,Thermopile,G
Sikasso,MLI_Solar_Sikasso,,Mali,11.30547,-5.73713,375,2021-,World Bank,CSP Services,,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Manantali,MLI_Solar_Manantali,,Mali,13.2005,-10.4308,175,2021-,World Bank,CSP Services,,https://energydata.info/dataset/mali-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Majuro,MHL_Solar_Majuro,,Marshall Islands,7.065048,171.268887,5,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/marshall-islands-solar-radiation-measurement-data,Freely,2,Thermopile,G
Yaren,NRU_Solar_Yaren,,Nauru,-0.543447,166.93197,28,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/nauru-solar-radiation-measurement-data,Freely,2,Thermopile,G
Dharan,NPL_Solar_Dharan,,Nepal,26.79291,87.29263,315,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Jumla,NPL_Solar_Jumla,,Nepal,29.27237,82.19351,2363,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kathmandu,NPL_Solar_Kathmandu,,Nepal,27.68157,85.31868,1315,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Lumle,NPL_Solar_Lumle,,Nepal,28.29666,83.818,1742,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Nepalgunj,NPL_Solar_Nepalgunj,,Nepal,28.11302,81.58899,150,2018-,ESMAP,CSP Services,,https://energydata.info/dataset/nepal-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Maradi,NER_Solar_Maradi,,Niger,13.52455,7.1678,375,2022-,World Bank,CSP Services,,https://energydata.info/dataset/niger-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Lossa,NER_Solar_Lossa,,Niger,13.94701,1.57469,205,2022-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/niger-solar-radiation-measurement-data,Freely,2,Thermopile,G
Zabori,NER_Solar_Zabori,,Niger,12.70536,3.55519,235,2022-,World Bank,CSP Services,,https://energydata.info/dataset/niger-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Bauchi,NGA_Solar_Bauchi,,Nigeria,10.28526,9.85059,597,2021-,World Bank,CSP Services,,https://energydata.info/dataset/nigeria-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kano,NGA_Solar_Kano,,Nigeria,11.87357,8.45837,449,2021-,World Bank,CSP Services,,https://energydata.info/dataset/nigeria-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Bahawalpur,PK_Solar_Bahawalpur_QASP,,Pakistan,29.32542,71.81877,120,2014-,ESMAP,CSP Services,,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Hyderabad,PK_Solar_Hyderabad_MUET,,Pakistan,25.4134,68.2595,60,2015-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Islamabad,PK_Solar_Islamabad_NUST,,Pakistan,33.64191,72.9838,500,2014-,ESMAP,CSP Services,,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Karachi,PK_Solar_Karachi_NEDUET,,Pakistan,24.9334,67.1116,40,2015-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Khuzdar,PK_Solar_Khuzdar_BUET,,Pakistan,27.8178,66.6294,1260,2015-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Lahore,PK_Solar_Lahore_UET,,Pakistan,31.69458,74.2441,220,2014-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Multan,PK_Solar_Multan_MSNUET,,Pakistan,30.1654,71.4978,95,2014-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Peshawar,PK_Solar_Peshawar_UET,,Pakistan,34.0017,71.4854,370,2015-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Quetta,PK_Solar_Quetta_BUITEMS,,Pakistan,30.2708,66.9398,1590,2015-,ESMAP,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/pakistan-solar-radiation-measurement-data,Freely,2,Thermopile,G
Airai,PLW_Solar_Airai,,Palau,7.368512917,134.5398299,47,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/palau-solar-radiation-measurement-data,Freely,2,Thermopile,G
Alotau,PNG_Solar_Alotau,,Papua New Guinea,-10.310113,150.337975,20,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/papua-new-guinea-solar-radiation-measurement-data,Freely,2,Thermopile,G
Fatick,SEN_Solar_Fatick,,Senegal,14.36751,-16.41346,8,2016-2017,IFC,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/senegal-solar-radiation-measurement-data,Freely,2,Thermopile,G
Kahone,SEN_Solar_Kahone,,Senegal,14.168636,-16.034167,10,2016-2017,IFC,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/senegal-solar-radiation-measurement-data,Freely,2,Thermopile,G
Touba,SEN_Solar_Touba_IFC,,Senegal,14.77252,-15.91955,37,2016-2017,IFC,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/senegal-solar-radiation-measurement-data,Freely,2,Thermopile,G
Tambacounda,SEN_Solar_Tambacounda,,Senegal,13.77689,-13.72924,40,2021-,World Bank,CSP Services,,https://energydata.info/dataset/senegal-2021-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Ourossogui,SEN_Solar_Ourossogui,,Senegal,15.61267,-13.3146,28,2021-,World Bank,CSP Services,,https://energydata.info/dataset/senegal-2021-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Kenema,SLE_Solar_Kenema,,Sierra Leone,7.81879,-11.18137,145,2021-,World Bank,CSP Services,,https://energydata.info/dataset/sierra-leone-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Bumbuna,SLE_Solar_Bumbuna,,Sierra Leone,9.03529,-11.76454,140,2021-,World Bank,CSP Services,,https://energydata.info/dataset/sierra-leone-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Honiara,SLB_Solar_Honiara,,Solomon Islands,-9.438163,160.063212,4,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/solomon-islands-solar-radiation-measurement-data,Freely,2,Thermopile,G
Dar es Salaam,TZA_Solar_DaresSalaam_UDSM,,Tanzania,-6.781101,39.2039,190,2015-,ESMAP,Consortium,,https://energydata.info/dataset/tanzania-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Dar es Salaam,TZA_Solar_Dar es Salaam,,Tanzania,-6.780882971,39.20377331,93,2020-,World Bank,UDSM,,https://energydata.info/dataset/tanzania-solar-irradiation-measurement-data,Freely,1,Thermopile,G;B;D
Dodoma,TZA_Solarn_Dodoma,,Tanzania,-6.180039,35.699039,1139,2019-2021,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/tanzania-solar-irradiation-measurement-data,Freely,2,Thermopile,G
Shinyanga,TZA_Solar_Shinyanga,,Tanzania,-3.626586111,33.51534167,1179,2020-2021,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/tanzania-solar-irradiation-measurement-data,Freely,2,Thermopile,G
Makunduchi,TZA_Solar_Makunduchi,,Tanzania,-6.417039245,39.51694463,30,2019-2021,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/tanzania-solar-irradiation-measurement-data,Freely,2,Thermopile,G
Dapaong,TGO_Solar_Dapaong,,Togo,10.89189,0.18984,310,2021-,World Bank,CSP Services,Instrument and components has not been manually checked,https://energydata.info/dataset/togo-solar-radiation-measurement-data,Freely,2,Thermopile,G
Davié,TGO_Solar_Davié,,Togo,6.39307,1.18647,91,2021-,World Bank,CSP Services,,https://energydata.info/dataset/togo-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Funafuti,TUV_Solar_Funafuti,,Tuvalu,-8.525087,179.196323,0,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/tuvalu-solar-radiation-measurement-data,Freely,2,Thermopile,G
Soroti,UGA_Solar_Soroti,,Uganda,1.724351,33.622098,1128,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/uganda-solar-radiation-measurement-data,Freely,2,Thermopile,G
Wadelai,UGA_Solar_Wadelai,,Uganda,2.725961,31.390403,644,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/uganda-solar-radiation-measurement-data,Freely,2,Thermopile,G
Efate,VUT_Solar_Efate,,Vanuatu,-17.709738,168.211453,152,2020-2022,World Bank,GeoSUN Africa,Instrument and components has not been manually checked,https://energydata.info/dataset/vanuatu-solar-radiation-measurement-data,Freely,2,Thermopile,G
Bac Ninh,VN_Solar_VNHAN_EVN,,Vietnam,21.2013,106.0629,60,2017-,ESMAP,Suntrace GmbH,,https://energydata.info/dataset/vietnam-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Central Highlands,VN_Solar_VNCEH_EVN,,Vietnam,12.7535,107.8761,290,2017-,ESMAP,Suntrace GmbH,,https://energydata.info/dataset/vietnam-solar-radiation-measurement-data,Freely,1,Thermopile,G;B;D
Da Nang,VN_Solar_VNDAN_EVN,,Vietnam,16.0125,108.1865,24,2017-,ESMAP,Suntrace GmbH,Instrument and components has not been manually checked,https://energydata.info/dataset/vietnam-solar-radiation-measurement-data,Freely,2,Thermopile,G
Song Binh,VN_Solar_VNSOB_EVN,,Vietnam,11.2641,108.3452,62,2017-,ESMAP,Suntrace GmbH,Instrument and components has not been manually checked,https://energydata.info/dataset/vietnam-solar-radiation-measurement-data,Freely,2,Thermopile,G
